id,title,effort_person_weeks,reach_users,impact_1to5,confidence_0to1,risk_1to5,strategic_fit_1to5,dependency_count,success_0to1
HIST-001,Automate build & release pipeline,8,1500,4.0,0.75,2,4,3,1
HIST-002,Major UI redesign (v2),14,4000,3.5,0.55,4,3,6,0
HIST-003,Add enterprise audit logging,10,900,4.5,0.65,3,5,5,1
HIST-004,Migrate auth service to new provider,18,2500,4.0,0.45,5,4,9,0
HIST-005,Implement rate limiting & abuse detection,9,5000,4.0,0.70,3,4,4,1
HIST-006,Refactor monolith module X,12,300,3.0,0.60,4,3,7,0
HIST-007,Customer onboarding time reduction,7,1200,4.0,0.80,2,4,2,1
HIST-008,Add new reporting suite,11,1800,3.5,0.60,3,3,5,0
HIST-009,Security patching automation,6,2000,3.5,0.85,2,5,3,1
HIST-010,Database major version upgrade,10,3000,3.0,0.65,4,4,6,0
HIST-011,Incident response playbook updates,5,200,3.0,0.90,1,3,1,1
HIST-012,Data deletion compliance controls,9,800,4.0,0.60,4,5,6,1
HIST-013,API performance optimization,12,6000,4.5,0.55,4,4,7,1
HIST-014,Replace ETL pipeline with streaming,16,1000,4.0,0.45,5,4,10,0
HIST-015,Introduce feature flags,7,2500,4.0,0.80,2,4,3,1
HIST-016,Payments reconciliation improvements,13,1000,4.5,0.60,3,4,6,1

